month,borough,age,stop
2018-12-01,Ealing,15 - 19,128
2018-12-01,Ealing,20 - 24,130
2018-12-01,Ealing,25 - 29,87
2018-12-01,Enfield,15 - 19,93
2018-12-01,Enfield,20 - 24,99
2018-12-01,Enfield,25 - 29,63
2018-12-01,Greenwich,15 - 19,130
2018-12-01,Greenwich,20 - 24,77
2018-12-01,Greenwich,25 - 29,50
2018-12-01,Hackney,15 - 19,133
2018-12-01,Hackney,20 - 24,196
2018-12-01,Hackney,25 - 29,141
2018-12-01,Hammersmith & Fulham,15 - 19,99
2018-12-01,Hammersmith & Fulham,20 - 24,64
2018-12-01,Hammersmith & Fulham,25 - 29,52
2018-12-01,Haringey,15 - 19,134
2018-12-01,Haringey,20 - 24,174
2018-12-01,Haringey,25 - 29,84
2018-12-01,Harrow,15 - 19,59
2018-12-01,Harrow,20 - 24,48
2018-12-01,Harrow,25 - 29,30
2018-12-01,Havering,15 - 19,55
2018-12-01,Havering,20 - 24,39
2018-12-01,Havering,25 - 29,33
2018-12-01,Hillingdon,15 - 19,103
2018-12-01,Hillingdon,20 - 24,121
2018-12-01,Hillingdon,25 - 29,59
2018-12-01,Hounslow,15 - 19,152
2018-12-01,Hounslow,20 - 24,155
2018-12-01,Hounslow,25 - 29,101
2018-12-01,Islington,15 - 19,149
2018-12-01,Islington,20 - 24,122
2018-12-01,Islington,25 - 29,104
2018-12-01,Kensington & Chelsea,15 - 19,115
2018-12-01,Kensington & Chelsea,20 - 24,106
2018-12-01,Kensington & Chelsea,25 - 29,87
2018-12-01,Kingston upon Thames,15 - 19,62
2018-12-01,Kingston upon Thames,20 - 24,29
2018-12-01,Kingston upon Thames,25 - 29,15
2018-12-01,Lambeth,15 - 19,274
2018-12-01,Lambeth,20 - 24,248
2018-12-01,Lambeth,25 - 29,147
2018-12-01,Lewisham,15 - 19,134
2018-12-01,Lewisham,20 - 24,100
2018-12-01,Lewisham,25 - 29,67
2018-12-01,Merton,15 - 19,31
2018-12-01,Merton,20 - 24,40
2018-12-01,Merton,25 - 29,27
2018-12-01,Newham,15 - 19,219
2018-12-01,Newham,20 - 24,234
2018-12-01,Newham,25 - 29,161
2018-12-01,Redbridge,15 - 19,52
2018-12-01,Redbridge,20 - 24,50
2018-12-01,Redbridge,25 - 29,26
2018-12-01,Richmond upon Thames,15 - 19,28
2018-12-01,Richmond upon Thames,20 - 24,8
2018-12-01,Richmond upon Thames,25 - 29,15
2018-12-01,Southwark,15 - 19,283
2018-12-01,Southwark,20 - 24,187
2018-12-01,Southwark,25 - 29,136
2018-12-01,Sutton,15 - 19,75
2018-12-01,Sutton,20 - 24,38
2018-12-01,Sutton,25 - 29,28
2018-12-01,Tower Hamlets,15 - 19,277
2018-12-01,Tower Hamlets,20 - 24,343
2018-12-01,Tower Hamlets,25 - 29,216
2018-12-01,Waltham Forest,15 - 19,202
2018-12-01,Waltham Forest,20 - 24,153
2018-12-01,Waltham Forest,25 - 29,90
2018-12-01,Wandsworth,15 - 19,76
2018-12-01,Wandsworth,20 - 24,69
2018-12-01,Wandsworth,25 - 29,36
2018-12-01,Westminster,15 - 19,194
2018-12-01,Westminster,20 - 24,269
2018-12-01,Westminster,25 - 29,159
2019-01-01,Aviation Policing,15 - 19,3
2019-01-01,Aviation Policing,20 - 24,5
2019-01-01,Aviation Policing,25 - 29,3
2019-01-01,Barking & Dagenham,15 - 19,53
2019-01-01,Barking & Dagenham,20 - 24,66
2019-01-01,Barking & Dagenham,25 - 29,40
2019-01-01,Barnet,15 - 19,72
2019-01-01,Barnet,20 - 24,71
2019-01-01,Barnet,25 - 29,38
2019-01-01,Bexley,15 - 19,106
2019-01-01,Bexley,20 - 24,69
2019-01-01,Bexley,25 - 29,31
2019-01-01,Brent,15 - 19,201
2019-01-01,Brent,20 - 24,210
2019-01-01,Brent,25 - 29,111
